time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,subjects,KS2_Prior,num_U,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_X,All_Grades,perc_U,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Food Preparation and Nutrition,113.5 - 116.5,1,3,1,8,13,48,96,188,310,353,1,1022,0.1,0.3,0.1,0.8,1.3,4.7,9.4,18.4,30.4,34.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Food Preparation and Nutrition,117 - 120,0,0,0,2,2,2,18,25,58,116,1,224,0,0,0,0.9,0.9,0.9,8.1,11.2,26,52
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,Less than 80,0,16,24,27,25,24,14,7,7,6,0,150,0,10.7,16,18,16.7,16,9.3,4.7,4.7,4
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,80 - 89.5,11,67,174,191,114,59,12,7,14,5,2,656,1.7,10.2,26.6,29.2,17.4,9,1.8,1.1,2.1,0.8
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,90 - 95.5,21,155,501,1071,907,525,93,75,47,34,8,3437,0.6,4.5,14.6,31.2,26.5,15.3,2.7,2.2,1.4,1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,96 - 99.5,29,199,660,1867,2308,1759,421,279,155,69,10,7756,0.4,2.6,8.5,24.1,29.8,22.7,5.4,3.6,2,0.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,100 - 102,28,147,517,1716,2593,2622,827,554,285,140,17,9446,0.3,1.6,5.5,18.2,27.5,27.8,8.8,5.9,3,1.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,102.5 - 104.5,34,125,526,1725,3241,3910,1606,1116,623,296,9,13211,0.3,0.9,4,13.1,24.5,29.6,12.2,8.5,4.7,2.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,105 - 107,25,88,369,1403,2732,4083,2373,1996,1104,623,18,14814,0.2,0.6,2.5,9.5,18.5,27.6,16,13.5,7.5,4.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,107.5 - 109.5,26,34,167,825,1822,3384,2695,2646,1665,989,18,14271,0.2,0.2,1.2,5.8,12.8,23.7,18.9,18.6,11.7,6.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,110 - 113,9,15,84,424,1172,2482,2595,3433,2943,2001,15,15173,0.1,0.1,0.6,2.8,7.7,16.4,17.1,22.6,19.4,13.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,113.5 - 116.5,2,3,17,68,228,666,993,1690,2041,2249,4,7961,0,0,0.2,0.9,2.9,8.4,12.5,21.2,25.7,28.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,French,117 - 120,1,0,2,12,23,68,114,319,579,1081,1,2200,0,0,0.1,0.5,1,3.1,5.2,14.5,26.3,49.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,Less than 80,47,194,235,170,90,52,24,13,10,4,5,844,5.6,23.1,28,20.3,10.7,6.2,2.9,1.5,1.2,0.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,80 - 89.5,173,956,1440,1082,486,214,75,26,11,4,24,4491,3.9,21.4,32.2,24.2,10.9,4.8,1.7,0.6,0.2,0.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,90 - 95.5,222,1323,3151,4501,3571,1789,793,305,109,35,38,15837,1.4,8.4,19.9,28.5,22.6,11.3,5,1.9,0.7,0.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,96 - 99.5,170,861,2491,5297,6153,4746,2955,1283,471,141,34,24602,0.7,3.5,10.1,21.6,25,19.3,12,5.2,1.9,0.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,100 - 102,109,397,1348,3396,5167,5382,4125,2254,1059,342,25,23604,0.5,1.7,5.7,14.4,21.9,22.8,17.5,9.6,4.5,1.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,102.5 - 104.5,71,250,837,2557,4522,6094,6166,4176,2280,860,31,27844,0.3,0.9,3,9.2,16.3,21.9,22.2,15,8.2,3.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,105 - 107,40,143,444,1303,2826,4826,6498,5653,3735,1800,13,27281,0.1,0.5,1.6,4.8,10.4,17.7,23.8,20.7,13.7,6.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,107.5 - 109.5,25,61,165,518,1382,2809,4890,5720,5021,2987,10,23588,0.1,0.3,0.7,2.2,5.9,11.9,20.7,24.3,21.3,12.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,110 - 113,7,27,62,207,540,1515,3154,5307,6354,5407,4,22584,0,0.1,0.3,0.9,2.4,6.7,14,23.5,28.1,23.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,113.5 - 116.5,2,4,8,31,87,287,640,1749,3115,4725,1,10649,0,0,0.1,0.3,0.8,2.7,6,16.4,29.3,44.4
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Geography,117 - 120,0,0,2,1,9,24,56,251,628,1693,1,2665,0,0,0.1,0,0.3,0.9,2.1,9.4,23.6,63.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,Less than 80,0,2,4,3,1,3,1,0,1,0,0,15,0,13.3,26.7,20,6.7,20,6.7,0,6.7,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,80 - 89.5,0,12,34,38,26,11,2,0,2,1,0,126,0,9.5,27,30.2,20.6,8.7,1.6,0,1.6,0.8
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,90 - 95.5,10,28,116,236,195,122,28,18,10,6,5,774,1.3,3.6,15.1,30.7,25.4,15.9,3.6,2.3,1.3,0.8
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,96 - 99.5,11,34,149,448,555,438,115,73,38,14,1,1876,0.6,1.8,7.9,23.9,29.6,23.4,6.1,3.9,2,0.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,100 - 102,7,27,125,414,664,691,235,141,59,34,1,2398,0.3,1.1,5.2,17.3,27.7,28.8,9.8,5.9,2.5,1.4
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,102.5 - 104.5,11,23,115,475,829,1123,525,337,160,76,4,3678,0.3,0.6,3.1,12.9,22.6,30.6,14.3,9.2,4.4,2.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,105 - 107,8,19,78,372,861,1228,882,645,289,137,5,4524,0.2,0.4,1.7,8.2,19.1,27.2,19.5,14.3,6.4,3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,107.5 - 109.5,7,8,54,229,602,1130,1001,898,550,270,7,4756,0.1,0.2,1.1,4.8,12.7,23.8,21.1,18.9,11.6,5.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,110 - 113,2,7,29,138,435,967,1123,1419,1027,756,3,5906,0,0.1,0.5,2.3,7.4,16.4,19,24,17.4,12.8
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,113.5 - 116.5,2,0,5,27,97,282,508,754,930,995,2,3602,0.1,0,0.1,0.8,2.7,7.8,14.1,20.9,25.8,27.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,German,117 - 120,0,0,0,7,10,34,93,178,263,550,1,1136,0,0,0,0.6,0.9,3,8.2,15.7,23.2,48.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,Less than 80,48,142,179,118,65,40,20,18,13,0,5,648,7.5,22.1,27.8,18.4,10.1,6.2,3.1,2.8,2,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,80 - 89.5,217,753,1187,1082,524,190,89,21,6,3,15,4087,5.3,18.5,29.2,26.6,12.9,4.7,2.2,0.5,0.1,0.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,90 - 95.5,397,1427,2938,3951,3223,1870,877,309,107,16,32,15147,2.6,9.4,19.4,26.1,21.3,12.4,5.8,2,0.7,0.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,96 - 99.5,333,1147,2643,5103,5992,4704,2948,1381,519,155,40,24965,1.3,4.6,10.6,20.5,24,18.9,11.8,5.5,2.1,0.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,100 - 102,198,657,1690,3517,5403,5600,4217,2504,1136,334,30,25286,0.8,2.6,6.7,13.9,21.4,22.2,16.7,9.9,4.5,1.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,102.5 - 104.5,152,445,1155,2807,4719,6343,6349,4341,2344,857,32,29544,0.5,1.5,3.9,9.5,16,21.5,21.5,14.7,7.9,2.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,105 - 107,83,268,653,1680,3411,5326,6719,5915,3830,1766,20,29671,0.3,0.9,2.2,5.7,11.5,18,22.7,19.9,12.9,6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,107.5 - 109.5,54,111,268,744,1781,3302,5309,5969,4793,2901,22,25254,0.2,0.4,1.1,2.9,7.1,13.1,21,23.7,19,11.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,110 - 113,24,46,115,352,859,1899,3966,5842,6481,5440,11,25035,0.1,0.2,0.5,1.4,3.4,7.6,15.8,23.3,25.9,21.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,History,113.5 - 116.5,6,11,16,53,166,404,990,2104,3561,4767,4,12082,0,0.1,0.1,0.4,1.4,3.3,8.2,17.4,29.5,39.5
