time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,subject,qualification_type,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_u,num_x,num_covid_impacted,all_grades,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_u,perc_x,perc_covid_impacted
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,105 - 107,German,GCSE,24,42,126,131,154,58,66,37,17,8,1,0,664,3.6,6.3,19,19.7,23.2,8.7,9.9,5.6,2.6,1.2,0.2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,107.5 - 109.5,German,GCSE,11,21,90,109,163,115,95,63,57,8,2,0,734,1.5,2.9,12.3,14.9,22.2,15.7,12.9,8.6,7.8,1.1,0.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,110 - 113,German,GCSE,4,13,57,104,170,154,197,137,113,7,2,2,960,0.4,1.4,5.9,10.8,17.7,16,20.5,14.3,11.8,0.7,0.2,0.2
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,113.5 - 116.5,German,GCSE,0,5,20,48,69,124,165,185,197,2,0,1,816,0,0.6,2.5,5.9,8.5,15.2,20.2,22.7,24.1,0.2,0,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,117 - 120,German,GCSE,0,0,4,6,20,25,56,92,171,0,0,0,374,0,0,1.1,1.6,5.3,6.7,15,24.6,45.7,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,No scaled score,German,GCSE,19,33,80,71,99,49,85,94,128,9,3,1,671,2.8,4.9,11.9,10.6,14.8,7.3,12.7,14,19.1,1.3,0.4,0.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,Total,German,GCSE,132,259,452,359,367,165,165,120,130,46,21,1,2217,6,11.7,20.4,16.2,16.6,7.4,7.4,5.4,5.9,2.1,0.9,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,Less than 80,German,GCSE,3,4,3,1,0,0,0,0,1,0,1,0,13,23.1,30.8,23.1,7.7,0,0,0,0,7.7,0,7.7,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,80 - 89.5,German,GCSE,20,31,20,4,1,1,2,1,0,6,1,0,87,23,35.6,23,4.6,1.1,1.1,2.3,1.1,0,6.9,1.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,90 - 95.5,German,GCSE,38,42,50,17,11,0,2,0,0,6,1,0,167,22.8,25.1,29.9,10.2,6.6,0,1.2,0,0,3.6,0.6,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,96 - 99.5,German,GCSE,24,43,64,31,24,3,4,3,0,5,5,0,206,11.7,20.9,31.1,15,11.7,1.5,1.9,1.5,0,2.4,2.4,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,100 - 102,German,GCSE,12,32,58,31,32,3,1,5,2,4,3,0,183,6.6,17.5,31.7,16.9,17.5,1.6,0.5,2.7,1.1,2.2,1.6,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,102.5 - 104.5,German,GCSE,7,38,69,57,48,18,4,4,5,5,2,0,257,2.7,14.8,26.8,22.2,18.7,7,1.6,1.6,1.9,1.9,0.8,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,105 - 107,German,GCSE,18,33,64,73,67,27,14,10,7,8,3,0,324,5.6,10.2,19.8,22.5,20.7,8.3,4.3,3.1,2.2,2.5,0.9,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,107.5 - 109.5,German,GCSE,5,17,60,65,68,25,25,4,7,3,2,0,281,1.8,6,21.4,23.1,24.2,8.9,8.9,1.4,2.5,1.1,0.7,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,110 - 113,German,GCSE,1,12,33,51,58,37,49,35,27,3,2,0,308,0.3,3.9,10.7,16.6,18.8,12,15.9,11.4,8.8,1,0.6,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,113.5 - 116.5,German,GCSE,0,2,15,17,39,37,38,39,46,4,1,1,239,0,0.8,6.3,7.1,16.3,15.5,15.9,16.3,19.2,1.7,0.4,0.4
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,117 - 120,German,GCSE,0,1,0,5,5,6,17,14,23,0,0,0,71,0,1.4,0,7,7,8.5,23.9,19.7,32.4,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,Any SEN,No scaled score,German,GCSE,4,4,16,7,14,8,9,5,12,2,0,0,81,4.9,4.9,19.8,8.6,17.3,9.9,11.1,6.2,14.8,2.5,0,0
