"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_U","num_11","num_21","num_22","num_32","num_33","num_43","num_44","num_54","num_55","num_65","num_66","num_76","num_77","num_87","num_88","num_98","num_99","num_X","All_Grades","perc_U","perc_11","perc_21","perc_22","perc_32","perc_33","perc_43","perc_44","perc_54","perc_55","perc_65","perc_66","perc_76","perc_77","perc_87","perc_88","perc_98","perc_99","perc_X"
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Disadvantaged Pupils","107.5 - 109.5",204,49,87,173,291,498,897,1072,1214,1508,841,757,601,406,302,206,108,80,123,9417,204,49,87,173,291,498,897,1072,1214,1508,841,757,601,406,302,206,108,80,123
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Disadvantaged Pupils","110 - 113",129,35,45,65,116,214,440,505,693,889,619,611,572,424,305,230,167,165,48,6272,129,35,45,65,116,214,440,505,693,889,619,611,572,424,305,230,167,165,48
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Disadvantaged Pupils","113.5 - 116.5",20,3,3,8,14,49,61,102,160,207,146,166,200,190,156,115,91,115,11,1817,20,3,3,8,14,49,61,102,160,207,146,166,200,190,156,115,91,115,11
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Disadvantaged Pupils","117 - 120",0,1,0,1,2,3,8,8,14,30,25,24,24,33,26,32,13,59,2,305,0,1,0,1,2,3,8,8,14,30,25,24,24,33,26,32,13,59,2
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","Less than 80",98,232,357,413,317,276,216,102,86,103,19,20,14,11,5,4,5,2,31,2311,98,232,357,413,317,276,216,102,86,103,19,20,14,11,5,4,5,2,31
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","80 - 89.5",276,697,1405,1975,2131,1586,1082,400,288,241,29,15,28,16,7,2,0,5,125,10308,276,697,1405,1975,2131,1586,1082,400,288,241,29,15,28,16,7,2,0,5,125
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","90 - 95.5",407,624,1265,2436,4091,4961,4727,2348,1744,1467,260,179,129,81,46,23,18,3,219,25028,407,624,1265,2436,4091,4961,4727,2348,1744,1467,260,179,129,81,46,23,18,3,219
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","96 - 99.5",492,452,866,1630,3381,5974,7599,5238,4445,4275,1041,759,493,309,186,83,42,29,213,37507,492,452,866,1630,3381,5974,7599,5238,4445,4275,1041,759,493,309,186,83,42,29,213
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","100 - 102",515,260,466,855,1954,3937,6555,5633,5480,5833,1837,1474,962,582,348,196,87,46,193,37213,515,260,466,855,1954,3937,6555,5633,5480,5833,1837,1474,962,582,348,196,87,46,193
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","102.5 - 104.5",579,193,334,656,1418,3178,6191,6249,7067,8274,3278,2688,2033,1278,781,467,193,155,177,45189,579,193,334,656,1418,3178,6191,6249,7067,8274,3278,2688,2033,1278,781,467,193,155,177
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","105 - 107",531,122,184,354,854,1934,4027,4999,6425,8189,4174,3924,3161,2026,1387,888,436,296,171,44082,531,122,184,354,854,1934,4027,4999,6425,8189,4174,3924,3161,2026,1387,888,436,296,171
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","107.5 - 109.5",291,56,84,161,346,829,1897,2686,3971,5749,3818,3680,3276,2454,1732,1174,672,561,114,33551,291,56,84,161,346,829,1897,2686,3971,5749,3818,3680,3276,2454,1732,1174,672,561,114
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","110 - 113",176,22,34,75,156,304,822,1291,2193,3558,2874,3170,3126,2590,2115,1683,1149,1201,74,26613,176,22,34,75,156,304,822,1291,2193,3558,2874,3170,3126,2590,2115,1683,1149,1201,74
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","113.5 - 116.5",34,4,6,6,16,44,115,241,435,810,729,1024,1143,1156,1022,1021,854,1184,26,9870,34,4,6,6,16,44,115,241,435,810,729,1024,1143,1156,1022,1021,854,1184,26
"202122","Academic year","National","E92000001","England","Provisional","Disadvantage","Non Disadvantaged Pupils","117 - 120",0,0,0,1,2,5,9,24,41,99,89,139,177,204,254,270,238,650,5,2207,0,0,0,1,2,5,9,24,41,99,89,139,177,204,254,270,238,650,5
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","Less than 80",96,164,203,221,202,191,158,77,82,106,20,29,16,11,8,4,5,2,26,1621,96,164,203,221,202,191,158,77,82,106,20,29,16,11,8,4,5,2,26
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","80 - 89.5",180,287,502,728,722,603,449,198,173,147,25,18,25,16,6,5,0,5,49,4138,180,287,502,728,722,603,449,198,173,147,25,18,25,16,6,5,0,5,49
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","90 - 95.5",174,152,324,584,980,1223,1273,801,665,667,187,134,95,69,42,21,11,4,53,7459,174,152,324,584,980,1223,1273,801,665,667,187,134,95,69,42,21,11,4,53
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","96 - 99.5",178,100,151,339,645,1112,1502,1272,1110,1199,501,363,283,186,114,50,33,22,27,9187,178,100,151,339,645,1112,1502,1272,1110,1199,501,363,283,186,114,50,33,22,27
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","100 - 102",137,50,83,156,361,685,1095,1050,1087,1238,599,490,394,259,156,85,48,31,26,8030,137,50,83,156,361,685,1095,1050,1087,1238,599,490,394,259,156,85,48,31,26
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","102.5 - 104.5",122,26,52,116,231,469,944,1006,1155,1385,750,709,612,427,278,185,74,79,26,8646,122,26,52,116,231,469,944,1006,1155,1385,750,709,612,427,278,185,74,79,26
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","105 - 107",107,23,38,75,120,289,508,689,855,1181,774,763,710,516,422,259,142,120,19,7610,107,23,38,75,120,289,508,689,855,1181,774,763,710,516,422,259,142,120,19
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","107.5 - 109.5",54,4,15,24,73,98,232,316,451,653,498,562,527,437,361,272,165,159,14,4915,54,4,15,24,73,98,232,316,451,653,498,562,527,437,361,272,165,159,14
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","110 - 113",30,8,6,12,27,46,70,149,249,335,327,398,398,372,344,276,218,266,9,3540,30,8,6,12,27,46,70,149,249,335,327,398,398,372,344,276,218,266,9
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","113.5 - 116.5",6,0,0,1,2,8,27,34,53,72,58,106,142,127,139,105,113,179,3,1175,6,0,0,1,2,8,27,34,53,72,58,106,142,127,139,105,113,179,3
"202122","Academic year","National","E92000001","England","Provisional","EAL","EAL Pupils","117 - 120",0,0,0,0,0,1,2,4,6,8,13,18,25,12,22,33,25,78,1,248,0,0,0,0,0,1,2,4,6,8,13,18,25,12,22,33,25,78,1
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","Less than 80",141,405,580,585,432,301,180,80,48,47,3,1,3,1,1,2,1,0,59,2870,141,405,580,585,432,301,180,80,48,47,3,1,3,1,1,2,1,0,59
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","80 - 89.5",615,1492,2580,3221,3145,2120,1247,421,273,200,15,5,17,7,2,1,0,1,414,15776,615,1492,2580,3221,3145,2120,1247,421,273,200,15,5,17,7,2,1,0,1,414
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","90 - 95.5",788,1282,2350,4044,6075,6691,5743,2575,1711,1388,178,119,91,48,23,11,9,3,599,33728,788,1282,2350,4044,6075,6691,5743,2575,1711,1388,178,119,91,48,23,11,9,3,599
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","96 - 99.5",821,854,1592,2814,5228,8309,9441,6049,4875,4468,891,634,380,218,128,51,17,15,571,47356,821,854,1592,2814,5228,8309,9441,6049,4875,4468,891,634,380,218,128,51,17,15,571
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","100 - 102",805,508,906,1559,3071,5645,8373,6748,6169,6293,1758,1356,816,477,279,151,65,36,470,45485,805,508,906,1559,3071,5645,8373,6748,6169,6293,1758,1356,816,477,279,151,65,36,470
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","102.5 - 104.5",854,388,676,1223,2350,4599,8024,7562,8177,9106,3364,2648,1881,1147,673,375,172,99,404,53722,854,388,676,1223,2350,4599,8024,7562,8177,9106,3364,2648,1881,1147,673,375,172,99,404
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","105 - 107",791,258,370,695,1427,2803,5442,6215,7566,9231,4407,4002,3108,1918,1230,788,373,232,341,51197,791,258,370,695,1427,2803,5442,6215,7566,9231,4407,4002,3108,1918,1230,788,373,232,341
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","107.5 - 109.5",441,101,156,310,564,1229,2562,3442,4734,6604,4161,3875,3350,2423,1673,1108,615,482,223,38053,441,101,156,310,564,1229,2562,3442,4734,6604,4161,3875,3350,2423,1673,1108,615,482,223
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","110 - 113",275,49,73,128,245,472,1192,1647,2637,4112,3166,3383,3300,2642,2076,1637,1098,1100,113,29345,275,49,73,128,245,472,1192,1647,2637,4112,3166,3383,3300,2642,2076,1637,1098,1100,113
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","113.5 - 116.5",48,7,9,13,28,85,149,309,542,945,817,1084,1201,1219,1039,1031,832,1120,34,10512,48,7,9,13,28,85,149,309,542,945,817,1084,1201,1219,1039,1031,832,1120,34
"202122","Academic year","National","E92000001","England","Provisional","EAL","Non EAL Pupils","117 - 120",0,1,0,2,4,7,15,28,49,121,101,145,176,225,258,269,226,631,6,2264,0,1,0,2,4,7,15,28,49,121,101,145,176,225,258,269,226,631,6
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","Less than 80",77,218,316,338,240,173,108,52,49,58,12,11,9,5,2,3,2,1,33,1707,77,218,316,338,240,173,108,52,49,58,12,11,9,5,2,3,2,1,33
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","80 - 89.5",294,706,1364,1943,1885,1251,716,248,177,117,19,11,19,13,4,3,0,3,218,8991,294,706,1364,1943,1885,1251,716,248,177,117,19,11,19,13,4,3,0,3,218
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","90 - 95.5",421,536,1061,2141,3522,3934,3377,1659,1101,905,181,116,87,43,29,12,9,2,340,19476,421,536,1061,2141,3522,3934,3377,1659,1101,905,181,116,87,43,29,12,9,2,340
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","96 - 99.5",474,312,669,1369,2895,4679,5429,3544,2969,2699,730,517,335,207,112,40,11,20,281,27292,474,312,669,1369,2895,4679,5429,3544,2969,2699,730,517,335,207,112,40,11,20,281
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","100 - 102",424,192,389,753,1647,3230,4804,3984,3496,3800,1201,958,591,379,216,104,46,37,252,26503,424,192,389,753,1647,3230,4804,3984,3496,3800,1201,958,591,379,216,104,46,37,252
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","102.5 - 104.5",453,159,283,581,1237,2448,4493,4315,4639,5297,2141,1744,1259,817,483,284,126,80,200,31039,453,159,283,581,1237,2448,4493,4315,4639,5297,2141,1744,1259,817,483,284,126,80,200
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","105 - 107",428,99,148,329,702,1528,2988,3431,4274,5229,2705,2518,1985,1312,876,563,270,159,175,29719,428,99,148,329,702,1528,2988,3431,4274,5229,2705,2518,1985,1312,876,563,270,159,175
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","107.5 - 109.5",236,40,65,125,291,614,1355,1867,2577,3574,2346,2295,2059,1519,1080,767,408,358,117,21693,236,40,65,125,291,614,1355,1867,2577,3574,2346,2295,2059,1519,1080,767,408,358,117
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","110 - 113",149,27,30,50,115,240,610,869,1436,2266,1777,1955,1976,1636,1343,1088,744,795,76,17182,149,27,30,50,115,240,610,869,1436,2266,1777,1955,1976,1636,1343,1088,744,795,76
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","113.5 - 116.5",22,3,3,9,13,40,79,164,284,473,421,592,691,699,656,646,526,759,24,6104,22,3,3,9,13,40,79,164,284,473,421,592,691,699,656,646,526,759,24
"202122","Academic year","National","E92000001","England","Provisional","Gender","Female Pupils","117 - 120",0,0,0,1,3,4,8,9,22,67,55,73,111,129,142,174,135,413,4,1350,0,0,0,1,3,4,8,9,22,67,55,73,111,129,142,174,135,413,4
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","Less than 80",160,351,467,468,394,319,230,105,81,95,11,19,10,7,7,3,4,1,52,2784,160,351,467,468,394,319,230,105,81,95,11,19,10,7,7,3,4,1,52
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","80 - 89.5",501,1073,1718,2006,1982,1472,980,371,269,230,21,12,23,10,4,3,0,3,245,10923,501,1073,1718,2006,1982,1472,980,371,269,230,21,12,23,10,4,3,0,3,245
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","90 - 95.5",541,898,1613,2487,3533,3980,3639,1717,1275,1150,184,137,99,74,36,20,11,5,312,21711,541,898,1613,2487,3533,3980,3639,1717,1275,1150,184,137,99,74,36,20,11,5,312
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","96 - 99.5",525,642,1074,1784,2978,4742,5514,3777,3016,2968,662,480,328,197,130,61,39,17,317,29251,525,642,1074,1784,2978,4742,5514,3777,3016,2968,662,480,328,197,130,61,39,17,317
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","100 - 102",518,366,600,962,1785,3100,4664,3814,3760,3731,1156,888,619,357,219,132,67,30,244,27012,518,366,600,962,1785,3100,4664,3814,3760,3731,1156,888,619,357,219,132,67,30,244
"202122","Academic year","National","E92000001","England","Provisional","Gender","Male Pupils","102.5 - 104.5",523,255,445,758,1344,2620,4475,4253,4693,5194,1973,1613,1234,757,468,276,120,98,230,31329,523,255,445,758,1344,2620,4475,4253,4693,5194,1973,1613,1234,757,468,276,120,98,230
