"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_U","num_11","num_22","num_33","num_44","num_55","num_66","num_77","num_88","num_99","num_X","All_Grades","perc_U","perc_11","perc_22","perc_33","perc_44","perc_55","perc_66","perc_77","perc_88","perc_99"
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","96 - 99.5",244,491,1749,4606,6531,4444,1173,478,172,55,88,35028,0.7,1.4,5,13.2,18.7,12.7,3.4,1.4,0.5,0.2
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","100 - 102",145,257,820,2577,5205,5187,1987,904,321,109,55,30507,0.5,0.8,2.7,8.5,17.1,17,6.5,3,1.1,0.4
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","102.5 - 104.5",123,175,520,1601,4112,5525,2892,1540,606,261,55,30573,0.4,0.6,1.7,5.2,13.5,18.1,9.5,5,2,0.9
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","105 - 107",82,81,267,745,2380,4056,3046,2077,936,396,32,24678,0.3,0.3,1.1,3,9.7,16.5,12.4,8.4,3.8,1.6
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","107.5 - 109.5",48,38,104,287,1047,2100,2155,1807,1052,530,17,16224,0.3,0.2,0.6,1.8,6.5,13,13.3,11.1,6.5,3.3
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","110 - 113",20,13,33,84,352,954,1300,1422,1101,900,8,10757,0.2,0.1,0.3,0.8,3.3,8.9,12.1,13.2,10.2,8.4
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","113.5 - 116.5",5,2,3,13,42,135,247,396,447,633,3,3183,0.2,0.1,0.1,0.4,1.3,4.2,7.8,12.5,14.1,19.9
202021,"Academic year","National","E92000001","England","Final","Gender","Female Pupils","117 - 120",0,1,0,2,2,10,23,37,63,188,0,474,0,0.2,0,0.4,0.4,2.1,4.9,7.8,13.3,39.7
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","Less than 80",115,414,552,296,142,66,19,11,3,1,28,2684,4.3,15.6,20.8,11.1,5.3,2.5,0.7,0.4,0.1,0
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","80 - 89.5",370,1276,2187,1760,718,216,26,12,4,1,73,11305,3.3,11.4,19.5,15.7,6.4,1.9,0.2,0.1,0,0
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","90 - 95.5",456,1229,3282,5092,3860,1748,305,122,36,18,111,28593,1.6,4.3,11.5,17.9,13.6,6.1,1.1,0.4,0.1,0.1
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","96 - 99.5",333,714,2154,4791,6682,4266,1095,459,137,60,121,36296,0.9,2,6,13.2,18.5,11.8,3,1.3,0.4,0.2
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","100 - 102",221,360,1044,2885,5606,5046,1547,729,249,122,66,30925,0.7,1.2,3.4,9.3,18.2,16.4,5,2.4,0.8,0.4
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","102.5 - 104.5",176,234,683,1871,4530,5577,2511,1253,454,181,69,30528,0.6,0.8,2.2,6.1,14.9,18.3,8.2,4.1,1.5,0.6
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","105 - 107",98,126,362,952,2639,4243,2744,1596,670,316,36,24060,0.4,0.5,1.5,4,11,17.7,11.4,6.6,2.8,1.3
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","107.5 - 109.5",62,50,132,385,1151,2254,1984,1405,779,388,9,15161,0.4,0.3,0.9,2.5,7.6,14.9,13.1,9.3,5.1,2.6
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","110 - 113",29,24,45,131,450,1044,1278,1219,787,573,10,9688,0.3,0.2,0.5,1.4,4.6,10.8,13.2,12.6,8.1,5.9
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","113.5 - 116.5",5,2,10,18,62,147,238,322,353,404,1,2577,0.2,0.1,0.4,0.7,2.4,5.7,9.2,12.5,13.7,15.7
202021,"Academic year","National","E92000001","England","Final","Gender","Male Pupils","117 - 120",0,0,1,0,4,9,25,33,49,121,1,368,0,0,0.3,0,1.1,2.5,6.8,9,13.4,33
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","Less than 80",37,121,179,138,123,68,22,17,3,4,18,1226,3.1,10,14.8,11.4,10.2,5.6,1.8,1.4,0.2,0.3
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","80 - 89.5",231,799,1691,1505,657,208,37,13,7,2,46,9154,2.5,8.8,18.6,16.5,7.2,2.3,0.4,0.1,0.1,0
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","90 - 95.5",444,1217,3805,7109,5592,2556,515,200,65,27,106,38508,1.2,3.2,9.9,18.5,14.6,6.7,1.3,0.5,0.2,0.1
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","96 - 99.5",397,832,2898,7804,11507,7583,2057,860,277,108,142,60297,0.7,1.4,4.8,13,19.1,12.6,3.4,1.4,0.5,0.2
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","100 - 102",256,448,1447,4728,9748,9328,3288,1511,536,216,80,54784,0.5,0.8,2.6,8.6,17.8,17.1,6,2.8,1,0.4
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","102.5 - 104.5",227,302,945,2990,7880,10288,5109,2622,993,428,87,55814,0.4,0.5,1.7,5.4,14.1,18.5,9.2,4.7,1.8,0.8
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","105 - 107",132,136,499,1422,4527,7709,5517,3517,1537,679,50,45012,0.3,0.3,1.1,3.2,10.1,17.1,12.3,7.8,3.4,1.5
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","107.5 - 109.5",89,62,183,566,1951,4021,3956,3064,1748,881,15,29296,0.3,0.2,0.6,1.9,6.7,13.7,13.5,10.5,6,3
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","110 - 113",35,27,61,174,699,1831,2443,2527,1816,1420,10,19218,0.2,0.1,0.3,0.9,3.6,9.5,12.7,13.2,9.5,7.4
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","113.5 - 116.5",8,4,11,27,90,250,463,681,770,1007,3,5478,0.1,0.1,0.2,0.5,1.6,4.6,8.5,12.4,14.1,18.4
202021,"Academic year","National","E92000001","England","Final","SEN","Non SEN Pupils","117 - 120",0,0,1,2,6,16,45,68,104,303,1,804,0,0,0.1,0.2,0.7,2,5.6,8.5,13,37.7
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","Less than 80",140,609,720,338,93,40,9,4,2,0,37,3223,4.4,19.1,22.6,10.6,2.9,1.3,0.3,0.1,0.1,0
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","80 - 89.5",384,1368,2406,1659,604,169,12,7,1,0,74,11409,3.4,12.1,21.2,14.6,5.3,1.5,0.1,0.1,0,0
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","90 - 95.5",318,814,2074,2733,1813,765,99,47,9,2,90,15100,2.1,5.4,13.8,18.2,12.1,5.1,0.7,0.3,0.1,0
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","96 - 99.5",180,373,1005,1593,1706,1127,211,77,32,7,67,11027,1.6,3.4,9.2,14.5,15.6,10.3,1.9,0.7,0.3,0.1
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","100 - 102",110,169,417,734,1063,905,246,122,34,15,41,6648,1.7,2.6,6.3,11.1,16.1,13.7,3.7,1.8,0.5,0.2
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","102.5 - 104.5",72,107,258,482,762,814,294,171,67,14,37,5287,1.4,2,4.9,9.2,14.5,15.5,5.6,3.3,1.3,0.3
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","105 - 107",48,71,130,275,492,590,273,156,69,33,18,3726,1.3,1.9,3.5,7.4,13.3,15.9,7.4,4.2,1.9,0.9
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","107.5 - 109.5",21,26,53,106,247,333,183,148,83,37,11,2089,1,1.3,2.6,5.1,11.9,16,8.8,7.1,4,1.8
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","110 - 113",14,10,17,41,103,167,135,114,72,53,8,1227,1.1,0.8,1.4,3.4,8.4,13.7,11.1,9.4,5.9,4.3
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","113.5 - 116.5",2,0,2,4,14,32,22,37,30,30,1,282,0.7,0,0.7,1.4,5,11.4,7.8,13.2,10.7,10.7
202021,"Academic year","National","E92000001","England","Final","SEN","SEN Pupils","117 - 120",0,1,0,0,0,3,3,2,8,6,0,38,0,2.6,0,0,0,7.9,7.9,5.3,21.1,15.8
