"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","EBacc_all_Entered","EBacc_all_Not_Entered","EBacc_all_perc_Entered","EBacc_all_perc_Not_Entered","EBacc_9-4_Achieved","EBacc_9-4_Not_Achieved","EBacc_9-4_perc_Achieved","EBacc_9-4_perc_Not_Achieved","EBacc_9-5_Achieved","EBacc_9-5_Not_Achieved","EBacc_9-5_perc_Achieved","EBacc_9-5_perc_Not_Achieved","Basics_9-4_Achieved","Basics_9-4_Not_Achieved","Basics_9-4_perc_Achieved","Basics_9-4_perc_Not_Achieved","Basics_9-5_Achieved","Basics_9-5_Not_Achieved","Basics_9-5_perc_Achieved","Basics_9-5_perc_Not_Achieved"
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","107.5 - 109.5",5828,7761,42.9,57.1,3910,9679,28.8,71.2,2715,10874,20,80,11068,2521,81.4,18.6,8226,5363,60.5,39.5
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","110 - 113",5319,5450,49.4,50.6,4075,6694,37.8,62.2,3240,7529,30.1,69.9,9567,1202,88.8,11.2,8021,2748,74.5,25.5
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","113.5 - 116.5",2413,1733,58.2,41.8,2076,2070,50.1,49.9,1832,2314,44.2,55.8,3922,224,94.6,5.4,3630,516,87.6,12.4
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","117 - 120",724,322,69.2,30.8,662,384,63.3,36.7,622,424,59.5,40.5,1012,34,96.7,3.3,978,68,93.5,6.5
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","Less than 80",345,5635,5.8,94.2,99,5881,1.7,98.3,51,5929,0.9,99.1,361,5619,6,94,159,5821,2.7,97.3
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","80 - 89.5",1139,10511,9.8,90.2,117,11533,1,99,49,11601,0.4,99.6,1034,10616,8.9,91.1,241,11409,2.1,97.9
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","90 - 95.5",4493,22710,16.5,83.5,919,26284,3.4,96.6,340,26863,1.2,98.8,7461,19742,27.4,72.6,2224,24979,8.2,91.8
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","96 - 99.5",9863,31544,23.8,76.2,3570,37837,8.6,91.4,1472,39935,3.6,96.4,21492,19915,51.9,48.1,8591,32816,20.7,79.3
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","100 - 102",13314,29475,31.1,68.9,6453,36336,15.1,84.9,3222,39567,7.5,92.5,29572,13217,69.1,30.9,15180,27609,35.5,64.5
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","102.5 - 104.5",21084,34755,37.8,62.2,12430,43409,22.3,77.7,7232,48607,13,87,44673,11166,80,20,27762,28077,49.7,50.3
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","105 - 107",27791,33380,45.4,54.6,19460,41711,31.8,68.2,13209,47962,21.6,78.4,54012,7159,88.3,11.7,39785,21386,65,35
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","107.5 - 109.5",29332,26203,52.8,47.2,23397,32138,42.1,57.9,17864,37671,32.2,67.8,52055,3480,93.7,6.3,43632,11903,78.6,21.4
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","110 - 113",35428,23600,60,40,31318,27710,53.1,46.9,26860,32168,45.5,54.5,57241,1787,97,3,52745,6283,89.4,10.6
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","113.5 - 116.5",23270,10613,68.7,31.3,21790,12093,64.3,35.7,20247,13636,59.8,40.2,33406,477,98.6,1.4,32509,1374,95.9,4.1
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Non Disadvantaged Pupils","117 - 120",9237,2879,76.2,23.8,8887,3229,73.3,26.7,8626,3490,71.2,28.8,11963,153,98.7,1.3,11884,232,98.1,1.9
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","Less than 80",467,2462,15.9,84.1,139,2790,4.7,95.3,71,2858,2.4,97.6,402,2527,13.7,86.3,196,2733,6.7,93.3
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","80 - 89.5",973,3563,21.5,78.5,135,4401,3,97,52,4484,1.1,98.9,691,3845,15.2,84.8,230,4306,5.1,94.9
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","90 - 95.5",2684,5374,33.3,66.7,744,7314,9.2,90.8,334,7724,4.1,95.9,3259,4799,40.4,59.6,1323,6735,16.4,83.6
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","96 - 99.5",4422,5782,43.3,56.7,1845,8359,18.1,81.9,888,9316,8.7,91.3,6532,3672,64,36,3474,6730,34,66
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","100 - 102",4699,4679,50.1,49.9,2522,6856,26.9,73.1,1462,7916,15.6,84.4,7196,2182,76.7,23.3,4609,4769,49.1,50.9
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","102.5 - 104.5",6210,4886,56,44,3943,7153,35.5,64.5,2529,8567,22.8,77.2,9517,1579,85.8,14.2,6954,4142,62.7,37.3
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","105 - 107",6730,4422,60.3,39.7,4876,6276,43.7,56.3,3552,7600,31.9,68.1,10149,1003,91,9,8296,2856,74.4,25.6
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","107.5 - 109.5",5949,3032,66.2,33.8,4751,4230,52.9,47.1,3879,5102,43.2,56.8,8536,445,95,5,7605,1376,84.7,15.3
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","110 - 113",6295,2569,71,29,5441,3423,61.4,38.6,4801,4063,54.2,45.8,8621,243,97.3,2.7,8174,690,92.2,7.8
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","113.5 - 116.5",3655,1135,76.3,23.7,3330,1460,69.5,30.5,3137,1653,65.5,34.5,4706,84,98.2,1.8,4611,179,96.3,3.7
"202122","Academic year","National","E92000001","England","Revised","EAL","EAL Pupils","117 - 120",1424,317,81.8,18.2,1338,403,76.9,23.1,1305,436,75,25,1715,26,98.5,1.5,1705,36,97.9,2.1
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","Less than 80",87,9682,0.9,99.1,6,9763,0.1,99.9,3,9766,0,100,134,9635,1.4,98.6,29,9740,0.3,99.7
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","80 - 89.5",893,18031,4.7,95.3,26,18898,0.1,99.9,7,18917,0,100,831,18093,4.4,95.6,118,18806,0.6,99.4
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","90 - 95.5",4070,33625,10.8,89.2,487,37208,1.3,98.7,139,37556,0.4,99.6,7124,30571,18.9,81.1,1709,35986,4.5,95.5
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","96 - 99.5",9528,43211,18.1,81.9,2756,49983,5.2,94.8,993,51746,1.9,98.1,22335,30404,42.4,57.6,7690,45049,14.6,85.4
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","100 - 102",13162,38879,25.3,74.7,5549,46492,10.7,89.3,2489,49552,4.8,95.2,31509,20532,60.5,39.5,14629,37412,28.1,71.9
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","102.5 - 104.5",21151,43962,32.5,67.5,11418,53695,17.5,82.5,6258,58855,9.6,90.4,47661,17452,73.2,26.8,27564,37549,42.3,57.7
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","105 - 107",27959,41058,40.5,59.5,18571,50446,26.9,73.1,12070,56947,17.5,82.5,57552,11465,83.4,16.6,40259,28758,58.3,41.7
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","107.5 - 109.5",29211,30932,48.6,51.4,22556,37587,37.5,62.5,16700,43443,27.8,72.2,54587,5556,90.8,9.2,44253,15890,73.6,26.4
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","110 - 113",34452,26481,56.5,43.5,29952,30981,49.2,50.8,25299,35634,41.5,58.5,58187,2746,95.5,4.5,52592,8341,86.3,13.7
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","113.5 - 116.5",22028,11211,66.3,33.7,20536,12703,61.8,38.2,18942,14297,57,43,32622,617,98.1,1.9,31528,1711,94.9,5.1
"202122","Academic year","National","E92000001","England","Revised","EAL","Non EAL Pupils","117 - 120",8537,2884,74.7,25.3,8211,3210,71.9,28.1,7943,3478,69.5,30.5,11260,161,98.6,1.4,11157,264,97.7,2.3
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Less than 80",271,4023,6.3,93.7,70,4224,1.6,98.4,33,4261,0.8,99.2,219,4075,5.1,94.9,104,4190,2.4,97.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","80 - 89.5",1085,9191,10.6,89.4,106,10170,1,99,37,10239,0.4,99.6,647,9629,6.3,93.7,179,10097,1.7,98.3
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","90 - 95.5",3893,17551,18.2,81.8,750,20694,3.5,96.5,276,21168,1.3,98.7,5008,16436,23.4,76.6,1484,19960,6.9,93.1
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","96 - 99.5",8082,22126,26.8,73.2,2921,27287,9.7,90.3,1223,28985,4,96,14291,15917,47.3,52.7,5680,24528,18.8,81.2
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","100 - 102",10366,19893,34.3,65.7,5106,25153,16.9,83.1,2523,27736,8.3,91.7,19546,10713,64.6,35.4,9933,20326,32.8,67.2
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","102.5 - 104.5",15485,22342,40.9,59.1,9440,28387,25,75,5501,32326,14.5,85.5,29123,8704,77,23,17929,19898,47.4,52.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","105 - 107",19324,20904,48,52,14054,26174,34.9,65.1,9578,30650,23.8,76.2,34676,5552,86.2,13.8,25338,14890,63,37
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","107.5 - 109.5",19294,15326,55.7,44.3,15846,18774,45.8,54.2,12257,22363,35.4,64.6,32050,2570,92.6,7.4,26716,7904,77.2,22.8
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","110 - 113",22228,13403,62.4,37.6,20008,15623,56.2,43.8,17375,18256,48.8,51.2,34362,1269,96.4,3.6,31493,4138,88.4,11.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","113.5 - 116.5",13645,5618,70.8,29.2,12947,6316,67.2,32.8,12198,7065,63.3,36.7,18992,271,98.6,1.4,18493,770,96,4
"202122","Academic year","National","E92000001","England","Revised","Gender","Female Pupils","117 - 120",5223,1507,77.6,22.4,5076,1654,75.4,24.6,4987,1743,74.1,25.9,6665,65,99,1,6622,108,98.4,1.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","Less than 80",283,8121,3.4,96.6,75,8329,0.9,99.1,41,8363,0.5,99.5,317,8087,3.8,96.2,121,8283,1.4,98.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","80 - 89.5",781,12403,5.9,94.1,55,13129,0.4,99.6,22,13162,0.2,99.8,875,12309,6.6,93.4,169,13015,1.3,98.7
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","90 - 95.5",2861,21448,11.8,88.2,481,23828,2,98,197,24112,0.8,99.2,5375,18934,22.1,77.9,1548,22761,6.4,93.6
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","96 - 99.5",5868,26867,17.9,82.1,1680,31055,5.1,94.9,658,32077,2,98,14576,18159,44.5,55.5,5484,27251,16.8,83.2
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","100 - 102",7495,23665,24.1,75.9,2965,28195,9.5,90.5,1428,29732,4.6,95.4,19159,12001,61.5,38.5,9305,21855,29.9,70.1
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","102.5 - 104.5",11876,26506,30.9,69.1,5921,32461,15.4,84.6,3286,35096,8.6,91.4,28055,10327,73.1,26.9,16589,21793,43.2,56.8
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","105 - 107",15365,24576,38.5,61.5,9393,30548,23.5,76.5,6044,33897,15.1,84.9,33025,6916,82.7,17.3,23217,16724,58.1,41.9
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","107.5 - 109.5",15866,18638,46,54,11461,23043,33.2,66.8,8322,26182,24.1,75.9,31073,3431,90.1,9.9,25142,9362,72.9,27.1
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","110 - 113",18519,15647,54.2,45.8,15385,18781,45,55,12725,21441,37.2,62.8,32446,1720,95,5,29273,4893,85.7,14.3
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","113.5 - 116.5",12038,6728,64.1,35.9,10919,7847,58.2,41.8,9881,8885,52.7,47.3,18336,430,97.7,2.3,17646,1120,94,6
"202122","Academic year","National","E92000001","England","Revised","Gender","Male Pupils","117 - 120",4738,1694,73.7,26.3,4473,1959,69.5,30.5,4261,2171,66.2,33.8,6310,122,98.1,1.9,6240,192,97,3
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","Less than 80",411,940,30.4,69.6,134,1217,9.9,90.1,71,1280,5.3,94.7,377,974,27.9,72.1,189,1162,14,86
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","80 - 89.5",1238,7769,13.7,86.3,129,8878,1.4,98.6,51,8956,0.6,99.4,866,8141,9.6,90.4,234,8773,2.6,97.4
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","90 - 95.5",5453,24765,18,82,1073,29145,3.6,96.4,426,29792,1.4,98.6,7813,22405,25.9,74.1,2355,27863,7.8,92.2
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","96 - 99.5",12478,38543,24.5,75.5,4236,46785,8.3,91.7,1746,49275,3.4,96.6,25018,26003,49,51,9799,41222,19.2,80.8
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","100 - 102",16520,36653,31.1,68.9,7580,45593,14.3,85.7,3716,49457,7,93,35024,18149,65.9,34.1,17577,35596,33.1,66.9
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","102.5 - 104.5",25809,42603,37.7,62.3,14682,53730,21.5,78.5,8424,59988,12.3,87.7,52942,15470,77.4,22.6,32328,36084,47.3,52.7
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","105 - 107",32994,40442,44.9,55.1,22533,50903,30.7,69.3,15052,58384,20.5,79.5,63359,10077,86.3,13.7,45823,27613,62.4,37.6
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","107.5 - 109.5",33642,30554,52.4,47.6,26293,37903,41,59,19850,44346,30.9,69.1,59481,4715,92.7,7.3,49201,14995,76.6,23.4
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","110 - 113",39159,26623,59.5,40.5,34157,31625,51.9,48.1,29094,36688,44.2,55.8,63421,2361,96.4,3.6,57972,7810,88.1,11.9
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","113.5 - 116.5",24814,11362,68.6,31.4,23100,13076,63.9,36.1,21407,14769,59.2,40.8,35656,520,98.6,1.4,34592,1584,95.6,4.4
"202122","Academic year","National","E92000001","England","Revised","SEN","Non SEN Pupils","117 - 120",9665,2981,76.4,23.6,9279,3367,73.4,26.6,8996,3650,71.1,28.9,12494,152,98.8,1.2,12394,252,98,2
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","Less than 80",143,11204,1.3,98.7,11,11336,0.1,99.9,3,11344,0,100,159,11188,1.4,98.6,36,11311,0.3,99.7
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","80 - 89.5",628,13825,4.3,95.7,32,14421,0.2,99.8,8,14445,0.1,99.9,656,13797,4.5,95.5,114,14339,0.8,99.2
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","90 - 95.5",1301,14234,8.4,91.6,158,15377,1,99,47,15488,0.3,99.7,2570,12965,16.5,83.5,677,14858,4.4,95.6
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","96 - 99.5",1472,10450,12.3,87.7,365,11557,3.1,96.9,135,11787,1.1,98.9,3849,8073,32.3,67.7,1365,10557,11.4,88.6
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","100 - 102",1341,6905,16.3,83.7,491,7755,6,94,235,8011,2.8,97.2,3681,4565,44.6,55.4,1661,6585,20.1,79.9
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","102.5 - 104.5",1552,6245,19.9,80.1,679,7118,8.7,91.3,363,7434,4.7,95.3,4236,3561,54.3,45.7,2190,5607,28.1,71.9
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","105 - 107",1695,5038,25.2,74.8,914,5819,13.6,86.4,570,6163,8.5,91.5,4342,2391,64.5,35.5,2732,4001,40.6,59.4
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","107.5 - 109.5",1518,3410,30.8,69.2,1014,3914,20.6,79.4,729,4199,14.8,85.2,3642,1286,73.9,26.1,2657,2271,53.9,46.1
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","110 - 113",1588,2427,39.6,60.4,1236,2779,30.8,69.2,1006,3009,25.1,74.9,3387,628,84.4,15.6,2794,1221,69.6,30.4
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","113.5 - 116.5",869,984,46.9,53.1,766,1087,41.3,58.7,672,1181,36.3,63.7,1672,181,90.2,9.8,1547,306,83.5,16.5
"202122","Academic year","National","E92000001","England","Revised","SEN","SEN Pupils","117 - 120",296,220,57.4,42.6,270,246,52.3,47.7,252,264,48.8,51.2,481,35,93.2,6.8,468,48,90.7,9.3
