"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","EBacc_all_Entered","EBacc_all_Not_Entered","EBacc_all_perc_Entered","EBacc_all_perc_Not_Entered","EBacc_9-4_Achieved","EBacc_9-4_Not_Achieved","EBacc_9-4_perc_Achieved","EBacc_9-4_perc_Not_Achieved","EBacc_9-5_Achieved","EBacc_9-5_Not_Achieved","EBacc_9-5_perc_Achieved","EBacc_9-5_perc_Not_Achieved","Basics_9-4_Achieved","Basics_9-4_Not_Achieved","Basics_9-4_perc_Achieved","Basics_9-4_perc_Not_Achieved","Basics_9-5_Achieved","Basics_9-5_Not_Achieved","Basics_9-5_perc_Achieved","Basics_9-5_perc_Not_Achieved"
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Less than 80",554,12144,4.4,95.6,145,12553,1.1,98.9,74,12624,0.6,99.4,536,12162,4.2,95.8,225,12473,1.8,98.2
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","80 - 89.5",1866,21594,8,92,161,23299,0.7,99.3,59,23401,0.3,99.7,1522,21938,6.5,93.5,348,23112,1.5,98.5
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","90 - 95.5",6754,38999,14.8,85.2,1231,44522,2.7,97.3,473,45280,1,99,10383,35370,22.7,77.3,3032,42721,6.6,93.4
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","96 - 99.5",13950,48993,22.2,77.8,4601,58342,7.3,92.7,1881,61062,3,97,28867,34076,45.9,54.1,11164,51779,17.7,82.3
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","100 - 102",17861,43558,29.1,70.9,8071,53348,13.1,86.9,3951,57468,6.4,93.6,38705,22714,63,37,19238,42181,31.3,68.7
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","102.5 - 104.5",27361,48848,35.9,64.1,15361,60848,20.2,79.8,8787,67422,11.5,88.5,57178,19031,75,25,34518,41691,45.3,54.7
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","105 - 107",34689,45480,43.3,56.7,23447,56722,29.2,70.8,15622,64547,19.5,80.5,67701,12468,84.4,15.6,48555,31614,60.6,39.4
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","107.5 - 109.5",35160,33964,50.9,49.1,27307,41817,39.5,60.5,20579,48545,29.8,70.2,63123,6001,91.3,8.7,51858,17266,75,25
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","110 - 113",40747,29050,58.4,41.6,35393,34404,50.7,49.3,30100,39697,43.1,56.9,66808,2989,95.7,4.3,60766,9031,87.1,12.9
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","113.5 - 116.5",25683,12346,67.5,32.5,23866,14163,62.8,37.2,22079,15950,58.1,41.9,37328,701,98.2,1.8,36139,1890,95,5
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","117 - 120",9961,3201,75.7,24.3,9549,3613,72.5,27.5,9248,3914,70.3,29.7,12975,187,98.6,1.4,12862,300,97.7,2.3
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","Less than 80",209,6509,3.1,96.9,46,6672,0.7,99.3,23,6695,0.3,99.7,175,6543,2.6,97.4,66,6652,1,99
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","80 - 89.5",727,11083,6.2,93.8,44,11766,0.4,99.6,10,11800,0.1,99.9,488,11322,4.1,95.9,107,11703,0.9,99.1
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","90 - 95.5",2261,16289,12.2,87.8,312,18238,1.7,98.3,133,18417,0.7,99.3,2922,15628,15.8,84.2,808,17742,4.4,95.6
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","96 - 99.5",4087,17449,19,81,1031,20505,4.8,95.2,409,21127,1.9,98.1,7375,14161,34.2,65.8,2573,18963,11.9,88.1
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","100 - 102",4547,14083,24.4,75.6,1618,17012,8.7,91.3,729,17901,3.9,96.1,9133,9497,49,51,4058,14572,21.8,78.2
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","102.5 - 104.5",6277,14093,30.8,69.2,2931,17439,14.4,85.6,1555,18815,7.6,92.4,12505,7865,61.4,38.6,6756,13614,33.2,66.8
"202122","Academic year","National","E92000001","England","Revised","Disadvantage","Disadvantaged Pupils","105 - 107",6898,12100,36.3,63.7,3987,15011,21,79,2413,16585,12.7,87.3,13689,5309,72.1,27.9,8770,10228,46.2,53.8
