time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,Entered_for_EBacc,Not_Entered,%_Entered_for_EBacc,%_Not_Entered,EBacc_9-4_Achieved,EBacc_9-4_Not_Achieved,%_EBacc_9-4_Achieved,%_EBacc_9-4_Not_Achieved,EBacc_9-5_Achieved,EBacc_9-5_Not_Achieved,%_EBacc_9-5_Achieved,%_EBacc_9-5_Not_Achieved,Basics_9-4_Achieved,Basics_9-4_Not_Achieved,%_Basics_9-4_Achieved,%_Basics_9-4_Not_Achieved,Basics_9-5_Achieved,Basics_9-5_Not_Achieved,%_Basics_9-5_Achieved,%_Basics_9-5_Not_Achieved
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,90 - 95.5,1558,15277,9.3,90.7,88,16747,0.5,99.5,24,16811,0.1,99.9,1764,15071,10.5,89.5,413,16422,2.5,97.5
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,96 - 99.5,1774,11911,13,87,268,13417,2,98,83,13602,0.6,99.4,3350,10335,24.5,75.5,1019,12666,7.4,92.6
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,100 - 102,1641,8267,16.6,83.4,412,9496,4.2,95.8,143,9765,1.4,98.6,3548,6360,35.8,64.2,1349,8559,13.6,86.4
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,102.5 - 104.5,2085,8178,20.3,79.7,687,9576,6.7,93.3,296,9967,2.9,97.1,4831,5432,47.1,52.9,2290,7973,22.3,77.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,105 - 107,2475,6953,26.3,73.7,1141,8287,12.1,87.9,578,8850,6.1,93.9,5589,3839,59.3,40.7,3231,6197,34.3,65.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,107.5 - 109.5,2287,4830,32.1,67.9,1325,5792,18.6,81.4,813,6304,11.4,88.6,5040,2077,70.8,29.2,3485,3632,49,51
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,110 - 113,2215,3713,37.4,62.6,1597,4331,26.9,73.1,1179,4749,19.9,80.1,4748,1180,80.1,19.9,3805,2123,64.2,35.8
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,113.5 - 116.5,1164,1395,45.5,54.5,1018,1541,39.8,60.2,877,1682,34.3,65.7,2302,257,90,10,2055,504,80.3,19.7
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,117 - 120,323,269,54.6,45.4,303,289,51.2,48.8,282,310,47.6,52.4,553,39,93.4,6.6,528,64,89.2,10.8
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,Any SEN,No scaled score,707,5086,12.2,87.8,325,5468,5.6,94.4,221,5572,3.8,96.2,1189,4604,20.5,79.5,738,5055,12.7,87.3
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,Total,237170,282174,45.7,54.3,151632,367712,29.2,70.8,108560,410784,20.9,79.1,375238,144106,72.3,27.7,269681,249663,51.9,48.1
202324,Academic year,National,E92000001,England,Provisional,All state-funded,SEN status,No identified SEN,Less than 80,402,847,32.2,67.8,118,1131,9.4,90.6,67,1182,5.4,94.6,297,952,23.8,76.2,142,1107,11.4,88.6
