"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Food Preparation and Nutrition","110 - 113",4,8,16,68,108,236,496,655,708,498,4,56,2857,0.3,0.6,2.4,3.8,8.3,17.4,22.9,24.8,17.4,0.1,0.1,2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Food Preparation and Nutrition","113.5 - 116.5",2,1,3,10,29,64,161,261,355,485,0,14,1385,0.1,0.2,0.7,2.1,4.6,11.6,18.8,25.6,35,0.1,0,1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Food Preparation and Nutrition","117 - 120",1,0,0,0,2,4,24,55,89,226,1,3,405,0,0,0,0.5,1,5.9,13.6,22,55.8,0.2,0.2,0.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","Less than 80",4,13,23,24,22,25,7,5,4,9,2,3,141,9.2,16.3,17,15.6,17.7,5,3.5,2.8,6.4,2.8,1.4,2.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","80 - 89.5",11,98,183,123,47,67,4,18,3,6,10,8,578,17,31.7,21.3,8.1,11.6,0.7,3.1,0.5,1,1.9,1.7,1.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","90 - 95.5",42,160,445,650,257,437,46,43,26,13,20,46,2185,7.3,20.4,29.7,11.8,20,2.1,2,1.2,0.6,1.9,0.9,2.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","96 - 99.5",64,164,563,1255,666,1329,121,123,81,66,39,64,4535,3.6,12.4,27.7,14.7,29.3,2.7,2.7,1.8,1.5,1.4,0.9,1.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","100 - 102",102,118,462,1273,839,1925,280,258,144,75,27,93,5596,2.1,8.3,22.7,15,34.4,5,4.6,2.6,1.3,1.8,0.5,1.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","102.5 - 104.5",126,129,506,1464,1226,3062,603,587,267,148,34,119,8271,1.6,6.1,17.7,14.8,37,7.3,7.1,3.2,1.8,1.5,0.4,1.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","105 - 107",161,88,386,1284,1365,3733,976,1125,635,320,45,133,10251,0.9,3.8,12.5,13.3,36.4,9.5,11,6.2,3.1,1.6,0.4,1.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","107.5 - 109.5",134,48,184,840,1082,3272,1317,1497,914,544,34,143,10009,0.5,1.8,8.4,10.8,32.7,13.2,15,9.1,5.4,1.3,0.3,1.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","110 - 113",104,21,107,461,838,2718,1559,2312,1752,1373,29,166,11440,0.2,0.9,4,7.3,23.8,13.6,20.2,15.3,12,0.9,0.3,1.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","113.5 - 116.5",35,4,30,117,242,908,749,1437,1519,1783,12,137,6973,0.1,0.4,1.7,3.5,13,10.7,20.6,21.8,25.6,0.5,0.2,2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","French","117 - 120",6,1,3,16,30,146,173,397,654,1297,1,39,2763,0,0.1,0.6,1.1,5.3,6.3,14.4,23.7,46.9,0.2,0,1.4
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Geography","Less than 80",67,219,141,86,39,37,17,8,2,2,9,2,629,34.8,22.4,13.7,6.2,5.9,2.7,1.3,0.3,0.3,10.7,1.4,0.3
